University of Helsinki,Faculty of Medicine,Department of Anatomy
Aalto University,"School of Arts, Design and Architecture",Department of Art
University of Helsinki,Faculty of Medicine,Department of Bacteriology and Immunology
University of Helsinki,Faculty of Medicine,Department of Biochemistry and Developmental Biology
University of Helsinki,Faculty of Science,Department of Chemistry
University of Helsinki,Faculty of Science,Department of Computer Science
University of Helsinki,Faculty of Arts,Department of Digital Humanities
University of Helsinki,Faculty of Educational Sciences,Department of Education
Aalto University,School of Electrical Engineering,Department of Electrical Engineering and Automation
University of Helsinki,Faculty of Medicine,Department of Internal Medicine
University of Helsinki,Faculty of Arts,Department of Languages
University of Helsinki,Faculty of Science,Department of Mathematics and Statistics
University of Helsinki,Faculty of Medicine,Department of Medical and Clinical Genetics
Aalto University ,School of Science,Department of Neuroscience and Biomedical Engineering
University of Helsinki,Faculty of Medicine,Department of Neurosciences
University of Helsinki,Faculty of Medicine,Department of Pathology
University of Helsinki,Faculty of Medicine,Department of Pharmacology
University of Helsinki,Faculty of Arts,"Department of Philosophy, History and Art Studies"
University of Helsinki,Faculty of Science,Department of Physics
University of Helsinki,Faculty of Medicine,Department of Physiology
University of Helsinki,Faculty of Medicine,Department of Psychology and Logopedics
University of Helsinki,Faculty of Medicine,Department of Public Health
University of Helsinki,Faculty of Medicine,Department of Surgery
University of Helsinki,Faculty of Pharmacy,Division of Pharmacology and Pharmacotherapy
University of Helsinki,HiLIFE,FIMM
University of Helsinki,Faculty of Veterinary Medicine,Food Hygiene and Environmental Health
University of Helsinki,HiLIFE,Institute of Biotechnology
University of Helsinki,Faculty of Social Sciences,Institute of Criminology and Legal Policy
University of Helsinki,Faculty of Biological and Environmental Sciences,Molecular and Integrative Biosciences Research Programme
University of Helsinki,HiLIFE,Neuroscience Center
University of Helsinki,HiLIFE,Other
University of Helsinki,Faculty of Medicine,Research Program for Clinical and Molecular Metabolism
University of Helsinki,Faculty of Social Sciences,Sociology
University of Helsinki,Faculty of Medicine,Stem Cells and Metabolism Research Program
University of Helsinki,Faculty of Veterinary Medicine,Veterinary Biosciences
